question_title,question_order,name,model_tag,tags,type,mean,median,std,sem,ci_95
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m4_script4_clean_20_livingroom1_Uber_ch6-enhanced-100p.wav,not_synthetic,DDS_m4_script4_clean_20_livingroom1_Uber_ch6.wav;male;not_synthetic,A,4.6,5.0,0.8,0.4,1.111
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,test-recording-2.wav,not_synthetic,test-recording-2.wav;male;not_synthetic,A,3.4,4.0,0.8,0.4,1.111
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m10_script5_clean_26_livingroom1_iPad_ch1-enhanced-100p.wav,not_synthetic,DDS_m10_script5_clean_26_livingroom1_iPad_ch1.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p238_421_mic1_0_noisy-enhanced-100p.wav,synthetic,p238_421_mic1_0_noisy.wav;female;synthetic,A,4.4,5.0,1.2,0.6,1.666
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m8_script5_clean_12_office1_Marantz_ch2-enhanced-100p.wav,not_synthetic,DDS_m8_script5_clean_12_office1_Marantz_ch2.wav;male;not_synthetic,A,4.6,5.0,0.8,0.4,1.111
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p294_015_mic1_0_noisy.wav,synthetic,p294_015_mic1_0_noisy.wav;female;synthetic,A,2.2,2.0,0.98,0.49,1.36
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m7_script4_clean_13_confroom1_Marantz_ch3-enhanced-100p.wav,not_synthetic,DDS_m7_script4_clean_13_confroom1_Marantz_ch3.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f9_script3_clean_32_livingroom1_Marantz_ch5-enhanced-100p.wav,not_synthetic,DDS_f9_script3_clean_32_livingroom1_Marantz_ch5.wav;female;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p305_099_mic2_0_noisy-enhanced-100p.wav,synthetic,p305_099_mic2_0_noisy.wav;female;synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m5_script1_clean_16_waitingroom1_iPad_ch4-enhanced-100p.wav,not_synthetic,DDS_m5_script1_clean_16_waitingroom1_iPad_ch4.wav;male;not_synthetic,A,4.8,5.0,0.4,0.2,0.555
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p268_221_mic1_0_noisy.wav,synthetic,p268_221_mic1_0_noisy.wav;female;synthetic,A,2.6,3.0,1.02,0.51,1.416
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Jacek_Samsung_M31_v3-enhanced-100p.wav,not_synthetic,Jacek_Samsung_M31_v3.wav;male;not_synthetic,A,4.2,4.0,0.4,0.2,0.555
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p268_221_mic1_0_noisy-enhanced-100p.wav,synthetic,p268_221_mic1_0_noisy.wav;female;synthetic,A,4.4,5.0,1.2,0.6,1.666
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m10_script5_clean_26_livingroom1_iPad_ch1.wav,not_synthetic,DDS_m10_script5_clean_26_livingroom1_iPad_ch1.wav;male;not_synthetic,A,4.0,4.0,0.894,0.447,1.242
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m7_script4_clean_13_confroom1_Marantz_ch3.wav,not_synthetic,DDS_m7_script4_clean_13_confroom1_Marantz_ch3.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,youtube2-enhanced-100p.wav,not_synthetic,youtube2.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f2_script2_clean_08_office1_iPad_ch1.wav,not_synthetic,DDS_f2_script2_clean_08_office1_iPad_ch1.wav;female;not_synthetic,A,2.8,3.0,0.4,0.2,0.555
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,test-recording-2-enhanced-100p.wav,not_synthetic,test-recording-2.wav;male;not_synthetic,A,4.8,5.0,0.4,0.2,0.555
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p294_015_mic1_0_noisy-enhanced-100p.wav,synthetic,p294_015_mic1_0_noisy.wav;female;synthetic,A,4.6,5.0,0.49,0.245,0.68
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,f2_script3_produced_5_noisy.wav,synthetic,f2_script3_produced_5_noisy.wav;female;synthetic,A,2.4,2.0,0.49,0.245,0.68
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Jacek_Audacity_v2.wav,not_synthetic,Jacek_Audacity_v2.wav;male;not_synthetic,A,1.2,1.0,0.4,0.2,0.555
